States,Years,Numbers
VT,2006,898
WA,2006,22225
WI,2006,15888
WV,2006,4780
WY,2006,1277
AL,2007,18046
AR,2007,14945
AZ,2007,31914
CA,2007,191569
CO,2007,16969
CT,2007,10552
DE,2007,6105
FL,2007,131880
GA,2007,45098
IA,2007,8782
ID,2007,3840
IL,2007,54345
IN,2007,20350
KS,2007,12394
KY,2007,11597
LA,2007,30334
MA,2007,29524
MD,2007,36065
ME,2007,1566
MI,2007,53335
MN,2007,13556
MO,2007,32933
MS,2007,6749
MT,2007,3524
NC,2007,39164
ND,2007,1273
NE,2007,5344
NH,2007,1743
NJ,2007,28538
NM,2007,12984
NV,2007,19358
NY,2007,80052
OH,2007,38583
OK,2007,18254
OR,2007,10885
PA,2007,50891
RI,2007,2420
SC,2007,34584
SD,2007,1752
TN,2007,46456
TX,2007,121970
UT,2007,6283
VA,2007,21002
VT,2007,787
WA,2007,21749
WI,2007,16314
WV,2007,4666
WY,2007,1323
AL,2008,19777
AR,2008,14502
AZ,2008,31242
CA,2008,185350
CO,2008,17356
CT,2008,10739
DE,2008,6187
FL,2008,126191
GA,2008,45569
IA,2008,8516
ID,2008,3676
IL,2008,54516
IN,2008,20595
KS,2008,11118
KY,2008,12318
LA,2008,28032
MA,2008,29903
MD,2008,35396
ME,2008,1574
MI,2008,51072
MN,2008,12425
MO,2008,29666
MS,2008,7173
MT,2008,2975
NC,2008,41439
ND,2008,1403
NE,2008,5423
NH,2008,1918
NJ,2008,28341
NM,2008,12803
NV,2008,18948
NY,2008,77567
OH,2008,38096
OK,2008,19326
OR,2008,9780
PA,2008,50505
RI,2008,2656
SC,2008,32497
SD,2008,2024
TN,2008,44840
TX,2008,123526
UT,2008,6110
VA,2008,20048
VT,2008,853
WA,2008,21847
WI,2008,15496
WV,2008,4667
WY,2008,1315
AL,2009,20544
AR,2009,14335
AZ,2009,28358
CA,2009,174639
CO,2009,16885
CT,2009,10587
DE,2009,5708
FL,2009,113541
GA,2009,40703
IA,2009,8332
ID,2009,3780
IL,2009,50988
IN,2009,20363
KS,2009,10889
KY,2009,10881
LA,2009,26795
MA,2009,30341
MD,2009,33629
ME,2009,1597
MI,2009,49412
MN,2009,13258
MO,2009,29468
MS,2009,6991
MT,2009,2786
NC,2009,36560
ND,2009,1447
